starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:06 2021	1627975926	0	775	776	774
Tue Aug 03 16:32:12 2021	1627975932	0	775	776	775
Tue Aug 03 16:32:14 2021	1627975934	0	775	776	775
Tue Aug 03 16:32:00 2021	1627975920	0	776	776	775
Tue Aug 03 16:32:14 2021	1627975934	0	775	776	775
Tue Aug 03 16:32:03 2021	1627975923	0	776	776	775
Tue Aug 03 16:32:13 2021	1627975933	0	776	776	775
Tue Aug 03 16:32:10 2021	1627975930	0	776	776	775
Tue Aug 03 16:32:10 2021	1627975930	0	776	776	775
Tue Aug 03 16:32:03 2021	1627975923	0	776	776	776
Tue Aug 03 16:31:59 2021	1627975919	1	775	776	775
Tue Aug 03 16:32:12 2021	1627975932	0	776	776	775
Tue Aug 03 16:32:12 2021	1627975932	0	776	776	775
Tue Aug 03 16:32:01 2021	1627975921	0	776	777	776
Tue Aug 03 16:32:03 2021	1627975923	0	776	777	776
Tue Aug 03 16:32:06 2021	1627975926	0	776	777	775
Tue Aug 03 16:32:12 2021	1627975932	0	777	777	776
Tue Aug 03 16:32:12 2021	1627975932	0	777	777	776
Tue Aug 03 16:32:13 2021	1627975933	1	776	777	776
Tue Aug 03 16:32:09 2021	1627975929	0	777	777	776
Tue Aug 03 16:32:13 2021	1627975933	0	777	777	776
Tue Aug 03 16:32:02 2021	1627975922	0	777	777	776
Tue Aug 03 16:32:13 2021	1627975933	0	777	777	777
Tue Aug 03 16:32:03 2021	1627975923	0	777	777	777
Tue Aug 03 16:32:03 2021	1627975923	0	777	777	776
Tue Aug 03 16:32:05 2021	1627975925	0	777	777	777
Tue Aug 03 16:32:12 2021	1627975932	0	777	777	777
Tue Aug 03 16:32:07 2021	1627975927	0	777	777	777
Tue Aug 03 16:32:13 2021	1627975933	0	777	777	776
Tue Aug 03 16:32:07 2021	1627975927	1	777	778	777
Tue Aug 03 16:32:13 2021	1627975933	0	778	778	777
Tue Aug 03 16:32:02 2021	1627975922	1	777	778	775
Tue Aug 03 16:32:03 2021	1627975923	0	778	778	777
Tue Aug 03 16:32:09 2021	1627975929	0	778	778	777
Tue Aug 03 16:32:06 2021	1627975926	0	778	778	777
Tue Aug 03 16:32:07 2021	1627975927	0	778	778	777
Tue Aug 03 16:32:13 2021	1627975933	0	778	778	777
